Année,Région académique,Matière,IPS moyen,Score moyen,Ecart type,groupe 1,groupe 2,groupe 3,groupe 4,groupe 5,groupe 6
2023,GRAND EST,Français,101.0,254.9,46.8,11.1,16.5,21.3,19.5,14.9,16.7
2023,AUVERGNE-RHONE-ALPES,Mathématiques,109.0,260.2,53.2,11.6,15.9,18.6,17.8,14.4,21.8
2023,GUADELOUPE,Mathématiques,96.8,228.1,48.7,31.0,22.4,17.9,12.3,8.1,8.3
2023,LA REUNION,Mathématiques,88.3,234.5,48.9,25.5,23.3,18.9,13.0,9.1,10.3
2023,MARTINIQUE,Mathématiques,101.3,232.3,48.8,27.2,22.1,18.3,13.9,8.5,10.0
2023,NORMANDIE,Mathématiques,103.0,249.3,50.1,15.7,19.0,20.2,17.3,12.1,15.6
2023,HAUTS-DE-FRANCE,Français,99.1,249.5,45.9,13.4,18.7,21.7,19.0,13.5,13.8
2023,MARTINIQUE,Français,101.3,244.5,47.7,18.0,18.7,19.9,17.8,12.7,12.9
2023,NATIONAL,Français,105.9,256.5,48.5,11.4,15.8,20.1,19.2,15.3,18.2
2023,PAYS DE LA LOIRE,Français,108.8,258.6,46.9,9.6,15.1,20.4,20.1,16.1,18.7
2023,GRAND EST,Mathématiques,101.0,255.2,52.0,13.6,17.1,19.5,17.5,13.4,18.9
2023,GUYANE,Mathématiques,81.9,196.0,43.4,63.7,17.0,8.7,5.3,2.7,2.6
2023,BRETAGNE,Français,110.6,262.2,46.7,7.9,14.0,19.9,20.7,17.2,20.2
2023,GUADELOUPE,Français,96.8,239.5,47.6,21.6,19.3,20.2,16.4,11.7,10.9
2023,NORMANDIE,Français,103.0,250.5,46.1,13.0,18.1,21.5,19.2,13.7,14.5
2023,CENTRE-VAL DE LOIRE,Mathématiques,103.1,252.1,50.2,14.3,18.2,20.1,17.7,13.0,16.
2023,CORSE,Mathématiques,101.7,249.9,48.1,13.9,19.7,20.5,17.6,13.3,15.0
2023,NATIONAL,Mathématiques,105.9,253.9,53.0,14.9,17.3,19.0,17.0,13.1,18.8
2023,PAYS DE LA LOIRE,Mathématiques,108.8,258.5,51.9,12.0,15.9,19.3,17.8,14.1,20.9
2023,PROVENCE-ALPES-COTE D'AZUR,Mathématiques,105.5,253.8,51.5,13.9,17.7,19.6,17.5,13.2,18.2
2023,AUVERGNE-RHONE-ALPES,Français,109.0,261.2,48.3,9.2,14.4,19.7,19.7,16.5,20.5
2023,CENTRE-VAL DE LOIRE,Français,103.1,254.9,46.2,10.9,16.5,21.3,20.0,14.9,16.5
2023,GUYANE,Français,81.9,206.5,47.3,52.2,18.0,13.0,7.5,4.6,4.7
2023,ILE-DE-FRANCE,Français,112.6,262.3,50.4,10.0,14.4,18.5,18.7,16.2,22.1
2023,LA REUNION,Français,88.3,244.4,47.1,17.4,20.5,20.4,17.3,12.0,12.4
2023,NOUVELLE-AQUITAINE,Français,107.7,258.9,47.5,10.0,14.7,20.3,19.8,16.1,19.1
2023,OUTRE-MER HORS REGIONS ACADEMIQUES,Français,,204.3,46.7,53.9,18.4,11.8,7.6,4.5,3.8
2023,PROVENCE-ALPES-COTE D'AZUR,Français,105.5,257.2,47.1,9.9,15.9,21.0,19.9,15.3,17.9
2023,BRETAGNE,Mathématiques,110.6,260.4,51.0,10.4,15.8,19.5,18.4,15.0,21.0
2023,HAUTS-DE-FRANCE,Mathématiques,99.1,247.9,49.9,16.5,19.7,19.8,16.9,12.1,15.0
2023,ILE-DE-FRANCE,Mathématiques,112.6,256.3,55.7,15.0,17.1,18.2,16.1,12.8,20.9
2023,NOUVELLE-AQUITAINE,Mathématiques,107.7,257.6,52.1,12.6,16.0,19.3,17.7,14.2,20.3
2023,OCCITANIE,Mathématiques,107.2,257.3,52.7,12.9,16.3,18.9,17.6,14.0,20.2
2023,BOURGOGNE-FRANCHE-COMTE,Français,102.4,255.7,46.1,10.2,16.3,21.5,20.4,15.1,16.5
2023,CORSE,Français,101.7,255.0,45.9,9.9,17.2,21.7,20.1,15.0,16.0
2023,OCCITANIE,Français,107.2,258.6,47.9,10.1,15.2,20.2,19.5,16.1,19.0
2023,BOURGOGNE-FRANCHE-COMTE,Mathématiques,102.4,255.2,50.6,12.7,17.2,19.9,18.4,13.6,18.2
2023,OUTRE-MER HORS REGIONS ACADEMIQUES,Mathématiques,,198.8,45.7,59.2,18.8,10.0,5.5,3.3,3.3
